,Postcode,Borough,Neighbourhood,Latitude,Longitude
0,M3A,North York,Parkwoods,43.648690000000045,-79.38543999999996
1,M4A,North York,Victoria Village,43.648690000000045,-79.38543999999996
2,M5A,Downtown Toronto,Harbourfront,43.752440000000036,-79.32927072599995
3,M5A,Downtown Toronto,Regent Park,43.730420577000075,-79.31331999999998
4,M6A,North York,Lawrence Heights,43.65512000000007,-79.36263979699999
5,M6A,North York,Lawrence Manor,43.65512000000007,-79.36263979699999
6,M9A,Etobicoke,Islington Avenue,43.72312500000004,-79.45158914699994
7,M1B,Scarborough,Rouge,43.72312500000004,-79.45158914699994
8,M1B,Scarborough,Malvern,43.66110229800006,-79.39103499999999
9,M3B,North York,Don Mills North,43.648690000000045,-79.38543999999996
10,M4B,East York,Woodbine Gardens,43.662242201000026,-79.52837877199994
11,M4B,East York,Parkview Hill,43.811525000000074,-79.19551721399995
12,M5B,Downtown Toronto,Ryerson,43.811525000000074,-79.19551721399995
13,M5B,Downtown Toronto,Garden District,43.648690000000045,-79.38543999999996
14,M6B,North York,Glencairn,43.74919500000004,-79.36190541699995
15,M9B,Etobicoke,Cloverdale,43.707535000000064,-79.31177329699995
16,M9B,Etobicoke,Islington,43.707535000000064,-79.31177329699995
17,M9B,Etobicoke,Martin Grove,43.65736301100003,-79.37817999999999
18,M9B,Etobicoke,Princess Gardens,43.65736301100003,-79.37817999999999
19,M9B,Etobicoke,West Deane Park,43.70799000000005,-79.44836733199998
20,M1C,Scarborough,Highland Creek,43.648690000000045,-79.38543999999996
21,M1C,Scarborough,Rouge Hill,43.648690000000045,-79.38543999999996
22,M1C,Scarborough,Port Union,43.64969222700006,-79.55394499999994
23,M3C,North York,Flemingdon Park,43.64969222700006,-79.55394499999994
24,M3C,North York,Don Mills South,43.64969222700006,-79.55394499999994
25,M4C,East York,Woodbine Heights,43.64969222700006,-79.55394499999994
26,M5C,Downtown Toronto,St. James Town,43.64969222700006,-79.55394499999994
27,M6C,York,Humewood-Cedarvale,43.78573000000006,-79.15874999999994
28,M9C,Etobicoke,Bloordale Gardens,43.78573000000006,-79.15874999999994
29,M9C,Etobicoke,Eringate,43.78573000000006,-79.15874999999994
30,M9C,Etobicoke,Markland Wood,43.648690000000045,-79.38543999999996
31,M9C,Etobicoke,Old Burnhamthorpe,43.72142500000007,-79.34345278999996
32,M1E,Scarborough,Guildwood,43.72142500000007,-79.34345278999996
33,M1E,Scarborough,Morningside,43.68966500000005,-79.30716910999996
34,M1E,Scarborough,West Hill,43.65121000000005,-79.37548057699996
35,M4E,East Toronto,The Beaches,43.692105179000066,-79.43035499999996
36,M5E,Downtown Toronto,Berczy Park,43.648690000000045,-79.38543999999996
37,M6E,York,Caledonia-Fairbanks,43.648690000000045,-79.38543999999996
38,M1G,Scarborough,Woburn,43.648573449000025,-79.57824999999997
39,M4G,East York,Leaside,43.648573449000025,-79.57824999999997
40,M5G,Downtown Toronto,Central Bay Street,43.648573449000025,-79.57824999999997
41,M6G,Downtown Toronto,Christie,43.648573449000025,-79.57824999999997
42,M1H,Scarborough,Cedarbrae,43.76569000000006,-79.17525603599995
43,M2H,North York,Hillcrest Village,43.76569000000006,-79.17525603599995
44,M3H,North York,Bathurst Manor,43.76569000000006,-79.17525603599995
45,M3H,North York,Downsview North,43.648690000000045,-79.38543999999996
46,M3H,North York,Wilson Heights,43.648690000000045,-79.38543999999996
47,M4H,East York,Thorncliffe Park,43.67684518300007,-79.29522499999996
48,M5H,Downtown Toronto,Adelaide,43.64516015600003,-79.37367499999993
49,M5H,Downtown Toronto,King,43.68864000000008,-79.45101525299998
50,M5H,Downtown Toronto,Richmond,43.648690000000045,-79.38543999999996
51,M6H,West Toronto,Dovercourt Village,43.648690000000045,-79.38543999999996
52,M6H,West Toronto,Dufferin,43.648690000000045,-79.38543999999996
53,M1J,Scarborough,Scarborough Village,43.76835912100006,-79.21758999999997
54,M2J,North York,Fairview,43.648690000000045,-79.38543999999996
55,M2J,North York,Henry Farm,43.648690000000045,-79.38543999999996
56,M2J,North York,Oriole,43.70976500000006,-79.36390090899994
57,M3J,North York,Northwood Park,43.65609081300005,-79.38492999999994
58,M3J,North York,York University,43.66878132800008,-79.42070999999999
59,M4J,East York,East Toronto,43.648690000000045,-79.38543999999996
60,M5J,Downtown Toronto,Harbourfront East,43.648690000000045,-79.38543999999996
61,M5J,Downtown Toronto,Toronto Islands,43.648690000000045,-79.38543999999996
62,M5J,Downtown Toronto,Union Station,43.76968799900004,-79.23943999999995
63,M6J,West Toronto,Little Portugal,43.80284500000005,-79.35623615099996
64,M6J,West Toronto,Trinity,43.757565000000056,-79.44819079299998
65,M1K,Scarborough,East Birchmount Park,43.757565000000056,-79.44819079299998
66,M1K,Scarborough,Ionview,43.757565000000056,-79.44819079299998
67,M1K,Scarborough,Kennedy Park,43.70127000000008,-79.34984401799994
68,M2K,North York,Bayview Village,43.649515000000065,-79.38250344699998
69,M3K,North York,CFB Toronto,43.649515000000065,-79.38250344699998
70,M3K,North York,Downsview East,43.649515000000065,-79.38250344699998
71,M4K,East Toronto,The Danforth West,43.66508694300006,-79.43870499999997
72,M4K,East Toronto,Riverdale,43.66508694300006,-79.43870499999997
73,M5K,Downtown Toronto,Design Exchange,43.648690000000045,-79.38543999999996
74,M5K,Downtown Toronto,Toronto Dominion Centre,43.648690000000045,-79.38543999999996
75,M6K,West Toronto,Brockton,43.648690000000045,-79.38543999999996
76,M6K,West Toronto,Exhibition Place,43.74312500000008,-79.23174973599998
77,M6K,West Toronto,Parkdale Village,43.780880000000025,-79.34779577599994
78,M1L,Scarborough,Clairlea,43.780880000000025,-79.34779577599994
79,M1L,Scarborough,Golden Mile,43.780880000000025,-79.34779577599994
80,M1L,Scarborough,Oakridge,43.764665000000036,-79.48718266299994
81,M2L,North York,Silver Hills,43.764665000000036,-79.48718266299994
82,M2L,North York,York Mills,43.688765344000046,-79.33417499999996
83,M3L,North York,Downsview West,43.623470000000054,-79.39150736399995
84,M4L,East Toronto,The Beaches West,43.623470000000054,-79.39150736399995
85,M4L,East Toronto,India Bazaar,43.623470000000054,-79.39150736399995
86,M5L,Downtown Toronto,Commerce Court,43.64848500000005,-79.41774150899994
87,M5L,Downtown Toronto,Victoria Hotel,43.64848500000005,-79.41774150899994
88,M6L,North York,Downsview,43.648690000000045,-79.38543999999996
89,M6L,North York,North Park,43.648690000000045,-79.38543999999996
90,M6L,North York,Upwood Park,43.648690000000045,-79.38543999999996
91,M9L,North York,Humber Summit,43.726244585000074,-79.26366999999993
92,M1M,Scarborough,Cliffcrest,43.726244585000074,-79.26366999999993
93,M1M,Scarborough,Cliffside,43.726244585000074,-79.26366999999993
94,M1M,Scarborough,Scarborough Village West,43.781015000000025,-79.38054242199996
95,M2M,North York,Newtonbrook,43.73902625000005,-79.46731999999997
96,M2M,North York,Willowdale,43.73902625000005,-79.46731999999997
97,M3M,North York,Downsview Central,43.68326150000007,-79.35511999999994
98,M4M,East Toronto,Studio District,43.68326150000007,-79.35511999999994
99,M5M,North York,Bedford Park,43.64710000000008,-79.38153109899997
100,M5M,North York,Lawrence Manor East,43.64710000000008,-79.38153109899997
101,M6M,York,Del Ray,43.639410000000055,-79.42436201999999
102,M6M,York,Keelesdale,43.639410000000055,-79.42436201999999
103,M6M,York,Mount Dennis,43.639410000000055,-79.42436201999999
104,M6M,York,Silverthorn,43.648690000000045,-79.38543999999996
105,M9M,North York,Emery,43.648690000000045,-79.38543999999996
106,M9M,North York,Humberlea,43.648690000000045,-79.38543999999996
107,M1N,Scarborough,Birch Cliff,43.71313321100007,-79.28505499999994
108,M1N,Scarborough,Cliffside West,43.71313321100007,-79.28505499999994
109,M2N,North York,Willowdale South,43.71313321100007,-79.28505499999994
110,M3N,North York,Downsview Northwest,43.75719200000003,-79.37986499999994
111,M4N,Central Toronto,Lawrence Park,43.75719200000003,-79.37986499999994
112,M5N,Central Toronto,Roselawn,43.74088500000005,-79.50502651899995
113,M6N,York,The Junction North,43.66796500000004,-79.31467251099997
114,M6N,York,Runnymede,43.66796500000004,-79.31467251099997
115,M9N,York,Weston,43.648205000000075,-79.37879339899996
116,M1P,Scarborough,Dorset Park,43.648205000000075,-79.37879339899996
117,M1P,Scarborough,Scarborough Town Centre,43.71381000000008,-79.48830541199999
118,M1P,Scarborough,Wexford Heights,43.71381000000008,-79.48830541199999
119,M2P,North York,York Mills West,43.71381000000008,-79.48830541199999
120,M4P,Central Toronto,Davisville North,43.648690000000045,-79.38543999999996
121,M5P,Central Toronto,Forest Hill North,43.648690000000045,-79.38543999999996
122,M5P,Central Toronto,Forest Hill West,43.75950000000006,-79.55685235299995
123,M6P,West Toronto,High Park,43.72357500000004,-79.23497617799995
124,M6P,West Toronto,The Junction South,43.72357500000004,-79.23497617799995
125,M9P,Etobicoke,Westmount,43.72357500000004,-79.23497617799995
126,M1R,Scarborough,Maryvale,43.79147500000005,-79.41360487299994
127,M1R,Scarborough,Wexford,43.79147500000005,-79.41360487299994
128,M2R,North York,Willowdale West,43.73458500000004,-79.49315062599999
129,M4R,Central Toronto,North Toronto West,43.662765652000076,-79.33482999999995
130,M5R,Central Toronto,The Annex,43.735460000000046,-79.41916412899997
131,M5R,Central Toronto,North Midtown,43.735460000000046,-79.41916412899997
132,M5R,Central Toronto,Yorkville,43.69454500000006,-79.48464278099993
133,M6R,West Toronto,Parkdale,43.69454500000006,-79.48464278099993
134,M6R,West Toronto,Roncesvalles,43.69454500000006,-79.48464278099993
135,M7R,Mississauga,Canada Post Gateway Processing Centre,43.69454500000006,-79.48464278099993
136,M9R,Etobicoke,Kingsview Village,43.648690000000045,-79.38543999999996
137,M9R,Etobicoke,Martin Grove Gardens,43.648690000000045,-79.38543999999996
138,M9R,Etobicoke,Richview Gardens,43.733760000000075,-79.53752189499994
139,M9R,Etobicoke,St. Phillips,43.733760000000075,-79.53752189499994
140,M1S,Scarborough,Agincourt,43.69666500000005,-79.26016331599999
141,M4S,Central Toronto,Davisville,43.69666500000005,-79.26016331599999
142,M5S,Downtown Toronto,Harbord,43.76816500000007,-79.40741984599998
143,M5S,Downtown Toronto,University of Toronto,43.755330601000026,-79.51958999999994
144,M6S,West Toronto,Runnymede,43.72816000000006,-79.38708518799996
145,M6S,West Toronto,Swansea,43.711941154000044,-79.41911999999996
146,M1T,Scarborough,Clarks Corners,43.67582500000003,-79.48205223199994
147,M1T,Scarborough,Sullivan,43.67582500000003,-79.48205223199994
148,M1T,Scarborough,Tam O'Shanter,43.648690000000045,-79.38543999999996
149,M4T,Central Toronto,Moore Park,43.648690000000045,-79.38543999999996
150,M4T,Central Toronto,Summerhill East,43.704855000000066,-79.51755242199994
151,M5T,Downtown Toronto,Chinatown,43.759975000000054,-79.26897402899993
152,M5T,Downtown Toronto,Grange Park,43.759975000000054,-79.26897402899993
153,M5T,Downtown Toronto,Kensington Market,43.759975000000054,-79.26897402899993
154,M1V,Scarborough,Agincourt North,43.74785500000007,-79.40006223799998
155,M1V,Scarborough,L'Amoreaux East,43.648690000000045,-79.38543999999996
156,M1V,Scarborough,Milliken,43.712815000000035,-79.38852582199996
157,M1V,Scarborough,Steeles East,43.69478500000008,-79.41440483299994
158,M4V,Central Toronto,Deer Park,43.69478500000008,-79.41440483299994
159,M4V,Central Toronto,Forest Hill SE,43.65997500000003,-79.46287357999995
160,M4V,Central Toronto,Rathnelly,43.65997500000003,-79.46287357999995
161,M4V,Central Toronto,South Hill,43.648690000000045,-79.38543999999996
162,M4V,Central Toronto,Summerhill West,43.648690000000045,-79.38543999999996
163,M5V,Downtown Toronto,CN Tower,43.696300000000065,-79.53039862799994
164,M5V,Downtown Toronto,Bathurst Quay,43.750710464000065,-79.30055999999996
165,M5V,Downtown Toronto,Island airport,43.750710464000065,-79.30055999999996
166,M5V,Downtown Toronto,Harbourfront West,43.77769500000005,-79.44579657299994
167,M5V,Downtown Toronto,King and Spadina,43.648690000000045,-79.38543999999996
168,M5V,Downtown Toronto,Railway Lands,43.71452278400005,-79.40695999999997
169,M5V,Downtown Toronto,South Niagara,43.674840000000074,-79.40369769099993
170,M8V,Etobicoke,Humber Bay Shores,43.674840000000074,-79.40369769099993
171,M8V,Etobicoke,Mimico South,43.674840000000074,-79.40369769099993
172,M8V,Etobicoke,New Toronto,43.64787000000007,-79.44976249999996
173,M9V,Etobicoke,Albion Gardens,43.64787000000007,-79.44976249999996
174,M9V,Etobicoke,Beaumond Heights,43.648690000000045,-79.38543999999996
175,M9V,Etobicoke,Humbergate,43.648690000000045,-79.38543999999996
176,M9V,Etobicoke,Jamestown,43.686915000000056,-79.55727609599995
177,M9V,Etobicoke,Mount Olive,43.686915000000056,-79.55727609599995
178,M9V,Etobicoke,Silverstone,43.686915000000056,-79.55727609599995
179,M9V,Etobicoke,South Steeles,43.686915000000056,-79.55727609599995
180,M9V,Etobicoke,Thistletown,43.79394000000008,-79.26798280099996
181,M1W,Scarborough,L'Amoreaux West,43.648690000000045,-79.38543999999996
182,M4W,Downtown Toronto,Rosedale,43.648690000000045,-79.38543999999996
183,M5W,Downtown Toronto,Stn A PO Boxes 25 The Esplanade,43.70339500000006,-79.38596360499997
184,M8W,Etobicoke,Alderwood,43.663110000000074,-79.40180056699995
185,M8W,Etobicoke,Long Branch,43.663110000000074,-79.40180056699995
186,M9W,Etobicoke,Northwest,43.64988500000004,-79.47492879599997
187,M1X,Scarborough,Upper Rouge,43.64988500000004,-79.47492879599997
188,M4X,Downtown Toronto,Cabbagetown,43.648690000000045,-79.38543999999996
189,M4X,Downtown Toronto,St. James Town,43.648690000000045,-79.38543999999996
190,M5X,Downtown Toronto,First Canadian Place,43.648690000000045,-79.38543999999996
191,M5X,Downtown Toronto,Underground city,43.78472500000004,-79.29904659999994
192,M8X,Etobicoke,The Kingsway,43.78472500000004,-79.29904659999994
193,M8X,Etobicoke,Montgomery Road,43.78472500000004,-79.29904659999994
194,M8X,Etobicoke,Old Mill North,43.648690000000045,-79.38543999999996
195,M4Y,Downtown Toronto,Church and Wellesley,43.648690000000045,-79.38543999999996
196,M7Y,East Toronto,Business Reply Mail Processing Centre 969 Eastern,43.69065500000005,-79.38356145799997
197,M8Y,Etobicoke,Humber Bay,43.69065500000005,-79.38356145799997
198,M8Y,Etobicoke,King's Mill Park,43.65357000000006,-79.39724915699998
199,M8Y,Etobicoke,Kingsway Park South East,43.65357000000006,-79.39724915699998
200,M8Y,Etobicoke,Mimico NE,43.65357000000006,-79.39724915699998
201,M8Y,Etobicoke,Old Mill South,43.648690000000045,-79.38543999999996
202,M8Y,Etobicoke,The Queensway East,43.648690000000045,-79.38543999999996
203,M8Y,Etobicoke,Royal York South East,43.648690000000045,-79.38543999999996
204,M8Y,Etobicoke,Sunnylea,43.648690000000045,-79.38543999999996
205,M8Z,Etobicoke,Kingsway Park South West,43.817810000000065,-79.28024362199994
206,M8Z,Etobicoke,Mimico NW,43.817810000000065,-79.28024362199994
207,M8Z,Etobicoke,The Queensway West,43.817810000000065,-79.28024362199994
208,M8Z,Etobicoke,Royal York South West,43.817810000000065,-79.28024362199994
209,M8Z,Etobicoke,South of Bloor,43.648690000000045,-79.38543999999996
